X.objectid,hsisid,inspectdate,category,statecode,critical,questionno,violationcode,severity,shortdesc,inspectedby,comments,pointvalue,observationtype,violationtype,count,cdcriskfactor,cdcdataitem
2149,4092015279,2014-09-22T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled bottle with purple liquid in it (label had worn off). Properly label this bottle to denote contents. CDI by labeling bottle.,0,Out,R,,,
2150,4092014572,2014-09-29T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Daryl Beasley,7-102.11; Priority Foundation; One sanitizer bottle needed a label. Chemicals and sanitizers must be labeled with common name. CDI- Sanitizer bottle was labeled.,0,Out,CDI,,,
2151,4092015906,2014-10-01T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,"7-102.11; Priority Foundation - Found an unlabeled spray bottle and large jug with blue liquid in them. Also observed a spray bottle labeled as ""sanitizer"" and ""windex"", but sanitizer was in this bottle. Proper label all chemical containers to denote contents to prevent mix-ups. CDI by labeling these containers/bottles. NOTE: Do not put sanitizer into a bottle used before for a chemical such as Windex (7-203.11).",1,Out,CDI,,,
2152,4092013840,2014-10-08T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,"7-102.11; Priority Foundation - Found unlabeled bottle with purple liquid in it (degreaser, according to PIC). Properly label this bottle to denote contents. CDI by labeling bottle.",0,Out,CDI,,,
2153,4092021788,2014-10-09T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled bottle of degreaser. Properly label this bottle to denote contents. CDI by labeling bottle.,0,Out,CDI,,,
2154,4092021580,2015-07-17T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; Label all spray bottles. The sanitizer bottle was not labeled. All working container's must be properly labeled with the common name of the items in the spray bottle.. CDI.... The bottle was labeled.,1,Out,CDI,,,
2155,4092021608,2015-07-20T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",David Adcock,7-102.11; The bleach water was not labeled. Label all spray bottles correctly.,0,Out,,,,
2156,4092010287,2015-07-20T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled bottle with blue liquid inside. All chemicals shall be properly labeled to denote contents. CDI by labeling bottle.,0,Out,CDI,,,
2157,4092014996,2015-07-21T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; one bottle of sanitizer and bleach were not labeled and one bottle of strong bleach was labeled as sanitizer. Once chemicals are removed from the original container, it shall be labeled with the chemical name.",1,Out,CDI,,,
2158,4092015246,2015-07-27T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; two chemical bottles were not labeled. These were labeled during inspection. Once chemicals are removed from the original container, they shall be labeled with the chemical name.",1,Out,R,,,
2159,4092012172,2015-07-28T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Dimitri Parker,7-102.11; Priority Foundation; Chemical bottles that were observed lacked labeling. All chemical bottles are to be labeled with common name of working container. Chemicals were labeled.,0,Out,CDI,,,
2160,4092021786,2015-07-29T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; two chemical bottles were not labeled. These were labeled during inspection. Once chemicals are removed from the original containers, they shall have the chemical name on them.",1,Out,CDI,,,
2161,4092016059,2015-08-05T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Laura McNeill,"7-102.11; Priority Foundation; two bottles of chemicals were not labeled. Manger labeled these during inspection. Once chemicals are removed from the original containers, they shall be labeled with the chemical name.",1,Out,CDI,,,
2162,4092015284,2015-08-05T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,"7-102.11; Priority Foundation - Observed a few bottle of sanitizer with worn off labels. Observed one other bottle marked ""bleach"" but PIC was not sure what the chemical was. Properly label bottles to denote contents. CDI by labeling bottles and discarding unknown chemical.",0,Out,CDI,,,
2163,4092016180,2015-08-05T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; Label all spray bottles. The sanitizer spray bottle was not labeled. All working containers must be labeled with the common name of the item in the spray bottle. CDI... The spray bottle was labeled.,1,Out,CDI,,,
2164,4092020961,2015-08-12T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found one unlabeled jug with yellow liquid in it. Properly label this jug to denote contents. CDI by labeling jug.,1,Out,CDI,,,
2165,4092014071,2015-08-12T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Naterra McQueen,7-102.11; Priority Foundation; Label all spray bottles. All working containers need to be properly labeled with the items in the bottles. CDI.... All the spray bottles were labeled.,0,Out,CDI,,,
2166,4092013193,2015-08-13T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled chemical and sanitizer bottles/container with blue and yellow liquids. Properly label these bottles/container to denote contents. CDI by labeling these items.,1,Out,CDI,,,
2167,4092011839,2015-08-17T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",James Smith,"7-102.11; Priority Foundation;  Unknown liquid in spray bottle labeled ""stanitizer.""  This liquid does not match color of quat sanitizer or bleach water in use.  PIC states it might be degreaser.  Ensure that toxic items are labeled with common name of contents. This spray bottle shall not be used for sanitizer.  Recommend discarding.  Large pump sprayer on shelving outside back door.   PIC states that this was left by a contractor and he does not know contents.  Return to contractor or disard.",1,Out,CDI,,,
2168,4092016113,2015-08-18T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Lucy Schrum,7-102.11; Priority Foundation - Found unlabeled spray bottle with liquid and jug of bleach. Properly label these items to denote contents. CDI by properly labeling these items.,1,Out,CDI,,,
2169,4092016304,2015-08-19T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Dimitri Parker,7-102.11; Priority Foundation; Observed a chemical bottle that lacked labeling. Labeling was installed on bottle before the inspection ended. Working containers used for storing POISONOUS OR TOXIC MATERIALS such as cleaners and SANITIZERS taken from bulk supplies shall be clearly and individually identified with the common name of the material. Pf,0,Out,,,,
2170,4092016711,2014-08-07T00:00:00.000Z,Chemical,".2653,.2657",Yes,26,7-102.11,Priority Foundation,"Toxic substances properly identified, stored, & used",Andrea Anover,"7-102.11; Priority Foundation; 2 containers of chemical in spray bottles unlabeled today. Properly label chemical bottles; 1 bottle of chemical labeled as ""Windex"" actually bleach. Properly label all chemicals.",1,Out,CDI,,,
